date,steps
07/08/2020 10:07,14
07/08/2020 10:08,11
07/08/2020 10:18,26
07/08/2020 12:59,11
07/08/2020 13:34,33
07/08/2020 13:45,42
07/08/2020 13:46,44
07/08/2020 14:01,26
07/08/2020 14:06,12
07/08/2020 14:11,14
07/08/2020 14:12,17
07/08/2020 14:13,10
07/08/2020 14:15,25
07/08/2020 14:16,16
07/08/2020 14:26,29
07/08/2020 14:28,23
07/08/2020 14:29,13
07/08/2020 15:30,11
07/08/2020 15:42,36
07/08/2020 15:43,2
07/08/2020 15:55,18
07/08/2020 17:05,11
07/08/2020 17:40,18
07/08/2020 17:41,12
07/08/2020 18:18,13
07/08/2020 18:21,14
07/08/2020 18:27,29
07/08/2020 18:28,2
07/08/2020 18:29,61
07/08/2020 18:33,49
07/08/2020 18:35,12
07/08/2020 18:36,36
07/08/2020 18:37,50
07/08/2020 18:46,15
07/08/2020 18:47,22
07/08/2020 18:48,10
07/08/2020 18:49,65
07/08/2020 18:50,62
07/08/2020 18:51,102
07/08/2020 18:52,110
07/08/2020 18:53,109
07/08/2020 18:54,117
07/08/2020 18:55,77
07/08/2020 18:56,80
07/08/2020 18:58,106
07/08/2020 18:59,63
07/08/2020 19:00,35
07/08/2020 19:01,98
07/08/2020 19:02,75
07/08/2020 19:03,106
07/08/2020 19:04,112
07/08/2020 19:05,114
07/08/2020 19:06,117
07/08/2020 19:07,116
07/08/2020 19:08,92
07/08/2020 19:09,109
07/08/2020 19:10,91
07/08/2020 19:11,61
07/08/2020 19:12,41
07/08/2020 19:13,35
07/08/2020 19:14,94
07/08/2020 19:15,37
07/08/2020 19:16,12
07/08/2020 19:17,10
07/08/2020 19:19,16
07/08/2020 19:21,20
07/08/2020 20:00,14
07/08/2020 20:47,12
07/08/2020 21:11,14
07/08/2020 21:14,19
07/08/2020 21:15,16
07/08/2020 21:58,16
07/08/2020 22:01,15
07/09/2020 06:00,19
07/09/2020 06:05,12
07/09/2020 06:10,98
07/09/2020 06:11,104
07/09/2020 06:12,97
07/09/2020 06:13,56
07/09/2020 06:14,89
07/09/2020 06:15,75
07/09/2020 06:16,70
07/09/2020 06:17,120
07/09/2020 06:18,120
07/09/2020 06:19,107
07/09/2020 06:20,92
07/09/2020 06:21,65
07/09/2020 06:22,87
07/09/2020 06:23,100
07/09/2020 06:24,47
07/09/2020 06:25,81
07/09/2020 06:26,88
07/09/2020 06:27,91
07/09/2020 06:28,33
07/09/2020 06:29,31
07/09/2020 06:33,23
07/09/2020 06:34,33
07/09/2020 06:47,24
07/09/2020 06:54,44
07/09/2020 06:55,19
07/09/2020 06:56,31
07/09/2020 06:58,29
07/09/2020 06:59,11
07/09/2020 07:00,50
07/09/2020 07:01,21
07/09/2020 07:02,21
07/09/2020 07:03,9
07/09/2020 07:36,126
07/09/2020 07:37,58
07/09/2020 07:38,104
07/09/2020 07:39,116
07/09/2020 07:40,72
07/09/2020 07:42,125
07/09/2020 07:43,121
07/09/2020 07:44,123
07/09/2020 07:45,124
07/09/2020 07:46,30
07/09/2020 07:47,28
07/09/2020 07:48,63
07/09/2020 07:49,27
07/09/2020 07:50,23
07/09/2020 08:03,21
07/09/2020 08:20,41
07/09/2020 08:21,3
