Rk,Player,Pos,Age,Tm,Points,Rebounds,Assists,Field Goal,3-Point FG
108,Wendell Carter,C,20,CHI,11.7,9.9,1.2,53.7,21.4
115,Coby White,SG,19,CHI,11.2,3.4,2.3,37.4,34.4
136,Tomáš Satoranský,PG,28,CHI,10.1,3.7,5.3,44.3,33.9
144,Thaddeus Young,PF,31,CHI,9.7,4.6,1.8,44.4,34.1
202,Kris Dunn,PG,25,CHI,7.3,3.6,3.4,44.4,25.9
262,Ryan Arcidiacono,PG,25,CHI,4.2,1.7,1.6,40.9,41.1
48,Devonte' Graham,PG,24,CHO,18,3.6,7.7,37.8,37.7
50,Terry Rozier,PG,25,CHO,18,4.5,4.2,42,38.9
91,Miles Bridges,SF,21,CHO,12.8,5.6,1.7,44.2,34.2
104,PJ Washington,PF,21,CHO,12,5.4,2,47.1,38.8
117,Cody Zeller,C,27,CHO,11.1,7,1.4,51.4,24.6
150,Malik Monk,SG,21,CHO,9.5,2.8,2,43.4,27.4
196,Bismack Biyombo,C,27,CHO,7.4,5.8,0.8,53.4,0
213,Marvin Williams,PF,33,CHO,6.7,2.7,1,44.8,37.6
224,Dwayne Bacon,SG,24,CHO,5.9,2.5,1.3,35.3,28.4
258,Cody Martin,SF,24,CHO,4.5,2.8,1.4,43.3,25.9
29,Collin Sexton,SG,21,CLE,19.9,3.2,2.6,46.3,37
53,Kevin Love,PF,31,CLE,17.8,9.8,3,45.8,38.2
94,Darius Garland,PG,20,CLE,12.4,2,3.7,39.5,36
106,Tristan Thompson,C,28,CLE,11.9,10.4,2.1,50.8,33.3
120,Cedi Osman,SF,24,CLE,11,3.4,2.4,45.1,39.4
151,Kevin Porter,SF,19,CLE,9.4,3.1,1.9,44.8,33.6
155,Larry Nance,C,27,CLE,9.3,7.3,2,52.8,35.5
276,Matthew Dellavedova,PG,29,CLE,2.6,1.1,2.6,32.8,16.4
6,Luka Dončić,PG,20,DAL,28.8,9.5,8.7,46.4,32.1
49,Kristaps Porziņģis,PF,24,DAL,18,9.1,1.4,40.9,35
79,Tim Hardaway,SG,27,DAL,14.3,3,1.9,42.4,39.8
113,Seth Curry,SG,29,DAL,11.3,2.2,1.9,47,42.7
149,Dorian Finney-Smith,PF,26,DAL,9.5,5.6,1.5,46.5,38.5
153,Dwight Powell,C,28,DAL,9.4,5.7,1.5,63.8,25.6
157,Maxi Kleber,C,28,DAL,9.1,5.4,1,46,38.5
172,Jalen Brunson,PG,23,DAL,8.4,2.5,3.3,46.6,36.5
200,Delon Wright,SG,27,DAL,7.4,3.9,3.4,47.2,37.5
226,Justin Jackson,PF,24,DAL,5.9,2.4,0.7,39.3,30.5
24,Nikola Jokić,C,24,DEN,20.6,10.3,6.8,51.6,32.5
45,Jamal Murray,PG,22,DEN,18.4,4,4.6,44.9,34.7
71,Will Barton,SF,29,DEN,15.1,6.5,3.7,44.7,38.2
114,Jerami Grant,PF,25,DEN,11.3,3.6,1.1,46.7,39.5
132,Gary Harris,SG,25,DEN,10.2,3,2.2,39.8,29.4
176,Monte Morris,PG,24,DEN,8.3,1.8,3.6,45,39.3
185,Michael Porter,PF,21,DEN,8,4.4,0.7,50.8,43.2
198,Mason Plumlee,C,29,DEN,7.4,5.6,2.4,60.5,0
250,Torrey Craig,SF,29,DEN,4.8,3.2,0.6,45.1,30.5
44,Derrick Rose,PG,31,DET,18.5,2.5,5.8,49.8,31.5
52,Andre Drummond,C,26,DET,17.8,15.8,2.8,53,4.8
119,Markieff Morris,PF,30,DET,11,3.9,1.5,45,39.3
122,Christian Wood,PF,24,DET,10.9,5.6,0.8,56.5,38.8
135,Langston Galloway,SG,28,DET,10.1,2.2,1.5,43.3,39.9
162,Sviatoslav Mykhailiuk,SF,22,DET,8.9,1.7,1.7,43.3,42.5
164,Bruce Brown,SG,23,DET,8.8,4.3,3.9,44.1,34.5
179,Tony Snell,SF,28,DET,8.1,1.8,1.8,44.7,40.8
261,Thon Maker,C,22,DET,4.3,2.5,0.6,50.4,33.3
60,Alec Burks,SG,28,GSW,16.1,4.7,3.1,40.6,37.5
84,Eric Paschall,PF,23,GSW,13.4,4.7,1.7,47.9,28.3
90,Glenn Robinson,SF,26,GSW,12.9,4.7,1.8,48.1,40
110,Damion Lee,SG,27,GSW,11.7,4.9,2.5,40.8,34.5
173,Draymond Green,PF,29,GSW,8.4,6.3,6.1,39.1,28.3
175,Marquese Chriss,PF,22,GSW,8.3,5.5,1.7,53.3,25
189,Jordan Poole,SG,20,GSW,7.7,1.9,2,29.4,26.9
192,Omari Spellman,PF,22,GSW,7.6,4.5,1,43.1,39.1
201,Ky Bowman,PG,22,GSW,7.3,2.5,3.1,40.4,33.7
1,James Harden,SG,30,HOU,35.3,6.4,7.3,43.6,36
9,Russell Westbrook,PG,31,HOU,26.7,8,7.3,45.8,23.7
80,Clint Capela,C,25,HOU,13.9,13.8,1.2,62.9,0
127,Danuel House,SF,26,HOU,10.5,4.4,1.3,42.3,37.6
131,Ben McLemore,SG,26,HOU,10.4,2.2,0.9,43.5,38
166,Austin Rivers,SG,27,HOU,8.8,2.5,1.6,41.9,34.5
199,P.J. Tucker,PF,34,HOU,7.4,7.1,1.6,43.5,36
277,Thabo Sefolosha,PF,35,HOU,2.4,2.4,0.6,43.9,30.6
46,Domantas Sabonis,C,23,IND,18.2,12.6,4.7,54.2,24.5
47,T.J. Warren,SF,26,IND,18.2,3.7,1.4,52,37.6
57,Malcolm Brogdon,PG,27,IND,16.8,4.7,7.3,44.1,33.3
88,Jeremy Lamb,SG,27,IND,13,4.4,2.1,45.9,34
107,Myles Turner,C,23,IND,11.8,6.1,1.2,44.9,34.3
128,Doug McDermott,PF,28,IND,10.5,2.6,1.1,48.4,44.2
139,Aaron Holiday,PG,23,IND,9.9,2.2,3.4,41.5,41.3
170,Justin Holiday,SG,30,IND,8.5,3.4,1.5,44.1,42.5
210,T.J. McConnell,PG,27,IND,6.9,2.7,5.4,52.6,30.8
273,Goga Bitadze,C,20,IND,3,2.1,0.5,48.1,16
7,Kawhi Leonard,SF,28,LAC,27.1,7.5,5.2,46.4,37.4
37,Lou Williams,SG,33,LAC,19.2,3.1,5.9,41,35.1
40,Montrezl Harrell,C,26,LAC,18.9,6.9,1.7,57.4,0
169,Patrick Beverley,PG,31,LAC,8.5,5.8,4,43,36.4
181,Ivica Zubac,C,22,LAC,8.1,7.1,1,58.9,0
212,JaMychal Green,PF,29,LAC,6.7,6.4,0.7,40.6,36.4
238,Maurice Harkless,SF,26,LAC,5.5,4,1,51.6,37
248,Patrick Patterson,PF,30,LAC,4.9,2.6,0.6,39.9,37.3
270,Rodney McGruder,SG,28,LAC,3.4,3,0.7,37,26.4
275,Jerome Robinson,SG,22,LAC,2.9,1.4,1.1,33.8,28.4
10,Anthony Davis,PF,26,LAL,26.5,9.2,3.3,51.8,31.5
11,LeBron James,PG,35,LAL,25,7.7,10.8,49,34.7
89,Kyle Kuzma,PF,24,LAL,12.9,4.4,1.2,43.4,33
148,Kentavious Caldwell-Pope,SG,26,LAL,9.5,2.1,1.7,47.1,41.4
165,Danny Green,SG,32,LAL,8.8,3.5,1.4,42.4,38.2
171,Avery Bradley,SG,29,LAL,8.4,2.3,1.2,45.6,35.5
190,Dwight Howard,C,34,LAL,7.6,7.6,0.6,73.3,60
195,Rajon Rondo,PG,33,LAL,7.5,3.4,5.4,41.5,33.3
205,JaVale McGee,C,32,LAL,7.3,5.8,0.7,64.3,50
237,Alex Caruso,PG,25,LAL,5.5,1.8,1.7,41.7,36.3
259,Troy Daniels,SG,28,LAL,4.4,1.1,0.4,39.9,36.9
54,Jaren Jackson,C,20,MEM,17.4,4.6,1.4,47.3,40.3
55,Ja Morant,PG,20,MEM,17.4,3.4,7,49.6,38.3
61,Dillon Brooks,SG,24,MEM,15.9,3.4,2.1,42.1,39.4
73,Jonas Valančiūnas,C,27,MEM,15.1,10.2,1.9,59.1,38
102,Brandon Clarke,PF,23,MEM,12.1,5.7,1.5,62,40.8
138,Jae Crowder,SF,29,MEM,9.9,6.2,2.8,36.8,29.3
186,De'Anthony Melton,PG,21,MEM,7.9,3.7,3,44.4,29.4
208,Tyus Jones,PG,23,MEM,6.9,1.6,4.5,46.6,38.4
233,Solomon Hill,SF,28,MEM,5.7,3,2,41.2,38.1
245,Kyle Anderson,PF,26,MEM,5.1,4,2.2,48,20
25,Jimmy Butler,SF,30,MIA,20.5,6.8,6.3,45.2,25.5
59,Bam Adebayo,PF,22,MIA,16.1,10.4,4.8,58.5,9.1
62,Goran Dragić,PG,33,MIA,15.9,3,5,44.9,39.5
64,Kendrick Nunn,SG,24,MIA,15.8,2.8,3.5,45.4,35.4
86,Tyler Herro,SG,20,MIA,13.1,4,2,41.4,39.3
97,Duncan Robinson,SF,25,MIA,12.3,3.3,1.3,46,44.1
161,Derrick Jones,SF,22,MIA,8.9,4.4,1,48.7,27.4
191,Kelly Olynyk,C,28,MIA,7.6,4.6,1.3,45.4,39
221,Meyers Leonard,C,27,MIA,6.1,5.1,1.1,52,42.9
2,Giannis Antetokounmpo,PF,25,MIL,30,13.5,5.8,54.9,31.3
27,Khris Middleton,SF,28,MIL,20.4,6.1,4.2,50.8,43.7
67,Eric Bledsoe,PG,30,MIL,15.4,4.7,5.3,47.8,33.5
130,Brook Lopez,C,31,MIL,10.4,4.5,1.6,42.6,29.4
143,George Hill,PG,33,MIL,9.7,3,3,54.1,51.1
159,Donte DiVincenzo,SG,23,MIL,9,4.7,2.3,45.4,33.7
194,Wesley Matthews,SG,33,MIL,7.5,2.5,1.4,41.3,37.8
204,Ersan İlyasova,PF,32,MIL,7.3,5,0.9,48.5,37.5
217,Kyle Korver,SF,38,MIL,6.5,2,1.2,42.2,41.4
241,Robin Lopez,C,31,MIL,5.4,2.6,0.7,50.7,28.6
