country,year,fertility_rate,life_expectancy,population
Tonga,2018,3.556,70.801,103199
Trinidad and Tobago,2018,1.725,73.38,1389841
Tunisia,2018,2.197,76.505,11565203
Turkey,2018,2.069,77.437,82340090
Turkmenistan,2018,2.786,68.073,5850902
Uganda,2018,4.955,62.973,42729032
Ukraine,2018,1.301,71.58268293,44622518
United Arab Emirates,2018,1.413,77.814,9630966
United Kingdom,2018,1.68,81.25609756,66460344
United States,2018,1.7295,78.53902439,326838199
Uruguay,2018,1.973,77.77,3449290
Uzbekistan,2018,2.419,71.573,32956100
Vanuatu,2018,3.782,70.323,292675
"Venezuela, RB",2018,2.272,72.128,28887117
Vietnam,2018,2.049,75.317,95545959
Virgin Islands (U.S.),2018,2.06,79.56829268,107001
West Bank and Gaza,2018,3.643,73.895,4569087
"Yemen, Rep.",2018,3.792,66.096,28498683
Zambia,2018,4.633,63.51,17351714
Zimbabwe,2018,3.615,61.195,14438812
