county,county_code,state,rate
Grainger,057,Tennessee,7.2
Hardeman,069,Tennessee,8.2
Hickman,081,Tennessee,5.8
Knox,093,Tennessee,5.9
Loudon,105,Tennessee,6.4
Marshall,117,Tennessee,9.1
Morgan,129,Tennessee,6.5
Polk,139,Tennessee,6.9
Scott,151,Tennessee,8.6
Union,173,Tennessee,6.9
Washington,179,Tennessee,6.4
Hampton,049,South Carolina,5
Jasper,053,South Carolina,5.1
Orangeburg,075,South Carolina,9
Saluda,081,South Carolina,4.3
Aurora,003,South Dakota,3.2
Bennett,007,South Dakota,5
Buffalo,017,South Dakota,8
Codington,029,South Dakota,4.9
Davison,035,South Dakota,4.2
Douglas,043,South Dakota,3
Haakon,055,South Dakota,2.5
Hanson,061,South Dakota,5.2
McCook,087,South Dakota,3.7
Mellette,095,South Dakota,6.2
Pennington,103,South Dakota,5.3
Sanborn,111,South Dakota,4.1
Turner,125,South Dakota,3.9
Ziebach,137,South Dakota,4.8
Harper,059,Oklahoma,3.3
Hughes,063,Oklahoma,7.5
Kingfisher,073,Oklahoma,4.3
Lincoln,081,Oklahoma,5.6
McClain,087,Oklahoma,5.5
Mayes,097,Oklahoma,5
Oklahoma,109,Oklahoma,6.4
Pontotoc,123,Oklahoma,5.2
Pushmataha,127,Oklahoma,6.7
Washington,147,Oklahoma,5.9
Woodward,153,Oklahoma,6.7
Deschutes,017,Oregon,7.9
Jefferson,031,Oregon,8.2
Lake,037,Oregon,5.6
Polk,053,Oregon,6.6
Wheeler,069,Oregon,4.3
Armstrong,005,Pennsylvania,9.8
Ochiltree,357,Texas,5.8
Oldham,359,Texas,3.9
Parker,367,Texas,5.9
Rains,379,Texas,4.7
Randall,381,Texas,4.5
Roberts,393,Texas,4.6
Rockwall,397,Texas,6
San Saba,411,Texas,5.2
Somervell,425,Texas,6.5
Stephens,429,Texas,6.1
Stonewall,433,Texas,5
Terry,445,Texas,7.3
Titus,449,Texas,6.7
Upshur,459,Texas,7.7
Uvalde,463,Texas,6.4
Ward,475,Texas,9.4
Williamson,491,Texas,5.9
